from,to,relationship
dehohloch,landtag,2
dehohloch,afd,3
dehohloch,stadtrat,2
detumlirsch,landesbauern,2
detumlirsch,lmbv,2
frbecker,beamtenbund,2
frbecker,vakberlin,2
frbecker,hprberlin,2
reauster,foen,2
chamsinck,drvbund,2
chamsinck,ipv,2
chamsinck,ibberlin,2
chamsinck,commerzbank,2
chamsinck,lhrbrandenburg,2
ankuehnemann,spd,3
ankuehnemann,verdi,2
ankuehnemann,stadtreinigungberlin,2
ankuehnemann,stromnetzberlin,2
jajazairi,hpvberlin,2
jajazairi,migrantenbeiratpotsdam,2
mekuehnemann,spd,3
anfaber,landfrauenbrandenburg,2
anfaber,fprbrandenburg,2
sanachama,widenthecircle,2
sanachama,juedischegemeinedeberlin,2
sanachama,advofleet,2
sanachama,wiberlin,2
likanellos,unicefberlin,2
anveiel,hsstiftung,2
anveiel,dffb,2
kakarger,gewerkschaftsbundberlinbrandenburg,2
kakarger,htwberlin,2
nazivkovic,cdu,3
nazivkovic,gruenberlin,2
nazivkovic,smartlivinigandhealthcenter,2
nazivkovic,stiftungzukunftberlin,2
nazivkovic,buergermeisterratberlin,2
makoinzer,sorbischbrandenburg,2
makoinzer,domowina,2
dehohloch,rbb,1
detumlirsch,rbb,1
likanellos,rbb,1
anveiel,rbb,1
kakarger,rbb,1
nazivkovic,rbb,1
makoinzer,rbb,1
mahagemann,rbb,1
erstohn,rbb,1
noheise,rbb,1
dothie,rbb,1
frhemm,rbb,1
votoennies,rbb,1
elhildebrandt,rbb,1
datripke,rbb,1
elkountidou,rbb,1
frbecker,rbb,1
reauster,rbb,1
chamsinck,rbb,1
ankuehnemann,rbb,1
jajazairi,rbb,1
mekuehnemann,rbb,1
anfaber,rbb,1
sanachama,rbb,1
frfeuerschuetz,rbb,1
kariedel,rbb,1
hageywitz,rbb,1
svrissmann,rbb,1
chgoiny,rbb,1
stschenk,rbb,1
digolze,rbb,1
disiegfried,rbb,1
mahagemann,agdok,2
erstohn,spd,3
noheise,marzahnertor,2
dothie,hwkpotsdam,2
dothie,mittelstandsvereinblankenfeldemahlow,2
dothie,mz,2
votoennies,spd,3
votoennies,havellaendischeeisenbahn,2
votoennies,eisenbahnniderbarnimer,2
votoennies,vbb,2
votoennies,mibraburgsparkasse,2
votoennies,oberhavelkliniken,2
elhildebrandt,spd,3
elhildebrandt,lhfn,2
datripke,lsbbrandenburg,2
datripke,msvneuruppin,2
datripke,rcneuruppin,2
datripke,gemeindienstneuruppin,2
elkountidou,ndm,2
