from,to,relationship
klsondergeld,rb,1
elbest,rb,1
chwechselbaum,rb,1
heniessen,rb,1
mazier,rb,1
thkurzke,rb,1
anrumpf,rb,1
angrote,rb,1
hetruepel,rb,1
fakemp,rb,1
dedogan,rb,1
mamirassol,rb,1
evquantebrandt,rb,1
utgolasowski,rb,1
krniemann,rb,1
thjopping,rb,1
dischmidtmann,rb,1
sekaiser,rb,1
klbecke,rb,1
pidemirel,rb,1
jukoerperich,rb,1
gereichstein,rb,1
uwparpart,rb,1
anofferhaus,rb,1
sizeimke,rb,1
klanders,rb,1
maschroeder,rb,1
elreichwald,rb,1
chlinker,rb,1
thvonzabern,rb,1
mareicksmann,rb,1
klsondergeld,stadtbremen,4
elbest,ausschusswissenschaft,4
chwechselbaum,dgb,4
chwechselbaum,gruene,3
heniessen,nordmetallverband,2
heniessen,arbeitgeberverbandbremen,4
mazier,arbeitnehmerkammerbremen,4
mazier,taz,3
thkurzke,handwerkskamerbremen,4
anrumpf,evkirchebremen,4
angrote,kathkirchebremen,4
hetruepel,juedischegemeinde,4
fakemp,muslimebremen,4
dedogan,alevitenbremen,4
mamirassol,bremerjugendring,4
evquantebrandt,spd,3
evquantebrandt,landessportbundbremen,4
utgolasowski,gruene,3
utgolasowski,naturschutzunterweser,4
utgolasowski,bundbremen,2
krniemann,kampnagel,2
krniemann,landesmusikratbremen,4
thjopping,djv,4
thjopping,schifffahrtsmuseum,2
dischmidtmann,gruene,3
dischmidtmann,gruenealte,2
dischmidtmann,wassersportbremen,2
dischmidtmann,tsvstmagnus,2
dischmidtmann,straßenamtbremen,2
dischmidtmann,seniorenbremen,4
sekaiser,bremerrat,4
sekaiser,stadtbremen,2
klbecke,ausschusswissenschaft,4
klbecke,anwaeltehavenhaus,2
klbecke,hochschulebremerhaven,2
pidemirel,ausschusswissenschaft,4
pidemirel,vhsbremen,2
jukoerperich,ausschusswissenschaft,4
jukoerperich,filmbuerobremen,2
jukoerperich,kuenstlerbremen,2
jukoerperich,hochschulefuerkuenste,2
gereichstein,nedderdueuetsch,4
gereichstein,plattdueuetscherat,2
uwparpart,bremerhavenstadt,4
anofferhaus,gruene,3
anofferhaus,gruene,4
anofferhaus,unibremen,2
sizeimke,cdu,3
sizeimke,cdu,4
klanders,unibremen,2
klanders,gesellschaftosteuropakunde,2
klanders,bremerbuendnistschechien,2
klanders,linke,3
klanders,linke,4
maschroeder,fdp,3
maschroeder,fdp,4
elreichwald,spd,3
elreichwald,spd,4
chlinker,lesbenschwulenverband,4
chlinker,ratundtat,2
thvonzabern,humanistischeunion,4
mareicksmann,landesteilhaberat,4
mareicksmann,blindenvereinbremen,2
rozurbrueggen,wdr,1
cobluemel,wdr,1
makaub,wdr,1
flbraun,wdr,1
grgolland,wdr,1
gahammelrath,wdr,1
jaheinisch,wdr,1
frjablonski,wdr,1
israzanica,wdr,1
kaknoebelspies,wdr,1
kikorte,wdr,1
fakuehl,wdr,1
thnueckel,wdr,1
svtritschler,wdr,1
alvogt,wdr,1
pevogt,wdr,1
heweber,wdr,1
hemeyer,wdr,1
feschotland,wdr,1
anweber,wdr,1
judalhoffschereik,wdr,1
tanackmayr,wdr,1
