id,name,sex,age,type,Arbeitgeber,job (Berufsbezeichnung),sector,party
dehohloch,Dennis Hohloch,2,37,A,landtagbrandenburg,mdl,politik,afd
detumlirsch,Denny Tumlirsch,2,36,A,lmbv,jurist,agrar,NA
likanellos,Linda Kanellos-Okur,1,39,A,erzbistumberlin,leiter,religion,NA
anveiel,Andres Veiel,2,67,A,selbststaendig,regisseur,kultur,NA
kakarger,Katja Karger,1,57,A,dgbbb,vorstand,sozial,NA
nazivkovic,Nadja Zivkovic,1,48,A,bezirksamtmh,bm,staat,cdu
makoinzer,Marcus Koinzer,2,39,A,domowina,geschaeftsfuehrer,sozial,NA
mahagemann,Martin Hagemann,2,68,A,filmuniversitaetbabelsberg,geschaeftsfuehrer,medien,NA
erstohn,Erik Stohn,2,43,A,landtagbrandenburg,mdl,politik,spd
noheise,Norman Heise,2,48,A,feriendomizilluetow,leiter,tourismus,NA
dothie,Dörte Thie,1,66,A,selbststaendig,zahntechniker,gesundheit ,NA
frhemm,Frauke Hemm,1,58,A,aws,geschaeftsfuehrer,umwelt,NA
votoennies,Volker-Alexander Tönnies,2,55,A,kreisverwaltungoberhavel,landrat,politik,spd
elhildebrandt,Elske Hildebrandt,1,52,A,landtagbrandenburg,mdl,politik,spd
datripke,Dr. Daniel Tripke,2,54,A,selbststaendig,anwalt,recht,NA
elkountidou,Elena Kountidou,1,47,A,ndm,geschaeftsfuehrer,medien,NA
frbecker,Frank Becker,2,65,A,senatsverwaltungberlin,beamter,staat,NA
reauster,Regine Auster,1,68,A,foerdervereinhausnaturpotsdam,geschaeftsfuehrer,umwelt,NA
chamsinck,Christian Amsinck,2,68,A,vereinigungunternehmenbb,geschaeftsfuehrer,wirtschaft,NA
ankuehnemann,Andrera Kühnemann,1,63,A,verdi,leiter,sozial,spd
jajazairi,Jala El Jazairi,1,54,A,unionhilfswerk,koordinator,sozial,NA
mekuehnemann,Melanie Kühnemann-Grunow,1,54,A,senatsverwaltungbildungberlin,mdl,politik,spd
anfaber,Anja-Christin Faber,1,51,A,lhfn,geschaeftsfuehrer,sozial,NA
sanachama,Sara Nachama,1,NA,A,advofleet,rektor,bildung,NA
frfeuerschuetz,Frank Feuerschütz,2,51,A,evkircheberlin,leiter,bildung,spd
kariedel,Katharina Riedel,1,62,A,selbststaendig,regisseur,kultur,NA
hageywitz,Harald Geywitz,2,55,A,telefonicagermany,leiter,religion,spd
svrissmann,Sven Rissmann,2,48,A,mdl,politiker,politik,cdu
chgoiny,Christian Goiny,2,61,A,abgeordnetenhausberlin,jurist,staat,cdu
stschenk,Stefan Schenk,2,57,A,inclusivesolutions,geschaeftsfuehrer,sozial,spd
digolze,Diana Golze,1,51,A,awopotsdam,koordinator,sozial,linke
disiegfried,Dirk Siegfried,2,67,A,selbststaendig,anwalt,staat,NA
alkehr,Alexandra Kehr,1,56,A,thueringerehrenamtsstiftung,referent,sozial,NA
anfeiks,Antje Feiks,1,47,A,landtagsachsen,mdl,politik,linke
annowak,Andreas Nowak,2,51,A,landtagsachsen,mdl,politik,cdu
beziesch,Bernhard Ziesch,2,75,A,domowina,geschaeftsfuehrer,sozial,NA
chmaier,Christoph Maier,2,52,A,evangelischeakademiesa,pfarrer,religion,NA
chwagner,Christhard Wagner,2,71,A,evangelischekirchethueringen,oberkirchenrat,religion,NA
dibauer,Dietrich Bauer,2,66,A,evluthlandeskirchesachsen,vorstand,sozial,NA
diherz,Dieter Herz,2,72,A,rentner,leiter,staat,NA
dipanter,Dirk Panter,2,52,A,smwa,minister,staat,spd
ekkulakova,Ekaterina Kulakova,1,57,A,theaterschule,lehrer,bildung,NA
frkuehn,Friedrich Kühn,2,55,A,selbststaendig,anwalt,recht,NA
frnemetz,Frank Nemetz,2,82,A,mdr,leiter,medien,NA
frschoenborn,Frank Schoenborn,2,55,A,tlbg,beamter,staat,NA
gukosmehl,Guido Kosmehl,2,51,A,landtagsachsenanhalt,mdl,politik,fdp
hamauer,Hagen Mauer,2,60,A,selbststaendig,geschaeftsfuehrer,industrie,NA
hegraichen,Henry Graichen,2,50,A,landratsamtleipzig,landrat,politik,cdu
hehilker,Heiko Hilker,2,60,A,selbststaendig,geschaeftsfuehrer,NA,linke
irherfurth,Iris Herfurth,1,65,A,landsachsenanhalt,inspektor,staat,NA
joleibiger,Joachim Leibiger,2,73,A,landtagthueringen,beamter,politik,NA
kabeberhold,Katrin Beberhold,1,51,A,agrarburgscheidungen,geschaeftsfuehrer,agrar,NA
kamitteldorf,Katja Mitteldorf,1,41,A,landtagthueringen,mdl,politik,linke
kaostermann,Kai Ostermann,2,45,A,stadtjena,koordinator,staat,NA
kasethi,Kanwal Sethi,2,55,A,selbststaendig,regisseur,medien,NA
klkloetzner,Klaus Klötzner,2,67,A,kloetznerwerbemittelservice,geschaeftsfuehrer,werbung,NA
maboehme,Manfred Böhme,2,68,A,ltvsachsen,direktor,tourismus,NA
mafangohr,Mathias Fangohr,2,48,A,easygastromagdeburg,geschaeftsfuehrer,gastronomie,NA
maforssbohm,Matthias Forßbohm,2,57,A,forssbohmundsoehnebauunternehmen,geschaeftsfuehrer,bau,NA
malanghof,Marco Langhof,2,62,A,teleport,geschaeftsfuehrer,it,NA
maschlimbach,Markus Schlimbach,2,61,A,dgbsachsen,bezirksvorsitzender,sozial,NA
mavoigt,Mario Voigt,2,49,A,landesregierungthueringen,ministerpraesident,politik,cdu
miziche,Michael Ziche,2,65,A,landkreistagsachsenanhalt,landrat,staat,cdu
nigbur,Nina Gbur,1,47,A,demokratischebildungsarbeit,geschaeftsfuehrer,bildung,NA
olgreie,Oliver Greie,2,50,A,verdi,leiter,sozial,NA
phnitsche,Philip Nitsche,2,39,A,caritasbistumerfurt,direktor,religion,NA
rekraushaar,Regina Kraushaar,1,62,A,smil,minister,politik,cdu
rohoffmann,Ron Hoffmann,2,60,A,iad ,geschaeftsfuehrer,it,NA
sasieber,Sarah Sieber,1,52,A,ihksachsen,geschaeftsfuehrer,bildung,NA
sawitt,Sandro Witt,2,45,A,dgb,leiter,sozial,linke
sescholz,Sebastian Scholz,2,52,A,djv,geschaeftsfuehrer,sozial,NA
siborgwardt,Siegfried Borgwardt,2,69,A,landtagsachsenanhalt,mdl,politik,cdu
sireeder,Sina Reeder,1,49,A,landesregierungthueringen,pressesprecher,staat,NA
stgebhardt,Stefan Gebhardt,2,52,A,landtagsachsenanhalt,mdl,politik,linke
strether,Stephan Rether,2,65,A,rentner,leiter,religion,NA
stschikor,Steffi Schikor,1,63,A,stadtverwaltungnaumburg,beamter,staat,NA
tazieschang,Tamara Zieschang,1,56,A,landesregierungsa,minister,staat,cdu
thmalcherek,Thomas Malcherek,2,64,A,handwerkskammererfurt,geschaeftsfuehrer,bildung,NA
ulfranzen,Ulrich Franzen,2,68,A,ostsaechsischensparkassedresden,direktor,finanzen,NA
woeisenberg,Wolfgang Eisenberg,2,57,A,leuchtstoffwerkbreitungen,geschaeftsfuehrer,industrie,NA
wogrosskopf,Wolfgang Großkopf,2,72,A,grosskopfkunststofftechnik,geschaeftsfuehrer,industrie,NA
chade,Christiane Ade,1,54,A,selbststaendig,landwirt,agrar,csu
mabeck,Dr. Markus Beck,2,70,A,selbststaendig,arzt,gesundheit ,NA
babecker,Barbara Becker,1,57,A,landtagbayern  ,mdl,politik,csu
baebenkenstein,Bärbel Benkenstein-Matschiner,1,62,A,stadtfreyung,referent,tourismus,NA
vrbertsch,Vroni Bertsch,1,46,A,stadtneumarkt,leiter,bildung,NA
jobeyer,Dr. Johanna Beyer,1,75,A,evangelischlutherischekirchebayern,beamter,sozial,NA
uwbrandl,Dr. Uwe Brandl,2,67,A,stanglmeierstiftung,jurist,kultur,csu
dibreit,Dieter Breit,2,65,A,evangelischlutherischekirchebayern,pfarrer,religion,NA
ildanziger,Ilse Danziger,1,74,A,rentner,verkauf,wirtschaft,NA
hadipama,Hamado Dipama,2,52,A,agaby,referent,sozial,NA
sedorny,Serge Dorny,2,64,A,bayerischestaatsoper,intendant,kultur,NA
aldorow,Alex Dorow,2,62,A,landtagbayern  ,mdl,politik,csu
maeglauer,Dr. Martina Eglauer,1,62,A,vhsebersberger,geschaeftsfuehrer,bildung,NA
sifleischmann,Simone Fleischmann,1,56,A,bayerischerlehrerverband,vorstand,bildung,NA
alfriedrich,P. Alfons Friedrich,1,68,A,erzdioezoesemuenchen,pfarrer,religion,NA
hegreif,Hermann Greif,2,62,A,selbststaendig,landwirt,agrar,csu
thhabermann,Thomas Habermann,2,70,A,landkreisrhoengrabfeld,landrat,politik,csu
vohalbleib,Volkmar Halbleib,2,62,A,landtagbayern  ,mdl,politik,spd
luhartmann,Ludwig Hartmann,2,48,A,landtagbayern  ,mdl,politik,gruene
flherrmann,Dr. Florian Herrmann,2,55,A,freistaatbayern,minister,politik,csu
klholetschek,Klaus Holetschek,2,62,A,landtagbayern  ,mdl,politik,csu
mehuml,Melanie Huml,1,51,A,landtagbayern  ,mdl,politik,csu
frhuepers,Dr. Frank Hüpers,2,65,A,handwerkskammermuenchen,geschaeftsfuehrer,wirtschaft,NA
luklemens,Luise Klemens,1,63,A,verdi,leiter,sozial,NA
rakleybolte,Rainer Kleybolte,2,69,A,deutschehypo,direktor,finanzen,NA
chknauer,Dr. Christian Knauer,2,74,A,landkreisaichach,landrat,politik,csu
jokohler,Jochen Kohler,2,51,A,stadtnuernberg,direktor,bau,csu
sakurz,Sanne Kurz,1,52,A,selbststaendig,filmemacher,kultur,gruene
axlinstaedt,Axel Linstädt,2,79,A,rentner,komponist,kultur,NA
femang,Ferdinand Mang,2,48,A,landtagbayern  ,mdl,politik,afd
chmoser,Dr. Christian Moser,2,49,A,kreisstadtdeggendorf,ob,politik,csu
thneumann,Thomas Neumann,2,58,A,handelskammermuenchen,leiter,kommunikation,NA
runeumaier,Dr. Rudolf Neumaier,2,55,A,heimatpflegebayern,geschaeftsfuehrer,kultur,NA
benolte,Benjamin Nolte,2,44,A,landtagbayern  ,mdl,politik,afd
mipiazolo,Prof. Dr. Michael Piazolo,2,67,A,landtagbayern  ,mdl,politik,fw
rugodehard,Prof. Dr. Dr. Ruppert Godehard,2,73,A,universitaetbamberg,vorstand,bildung,NA
geschermer,Gerlinde Schermer-Rauwolf,1,67,A,selbststaendig,uebersetzer,kultur,NA
klschmoeller,Klothilde Schmöller,1,78,A,mtvingolstadt,geschaeftsfuehrer,sport,fw
saschuhmann,Sandra Schuhmann,1,53,A,evangelischlutherischekirchebayern,vorstand,religion,NA
phseitz,Philipp Seitz,2,34,A,jugendringbayern,vorstand,sozial,NA
chseuss,Christian Seuß,2,66,A,rentner,jurist,justiz,NA
pasiebertz,Dr. Paul Siebertz,2,78,A,NA,anwalt,justiz,NA
bestiedl,Bernhard Stiedl,2,56,A,dgbbayern,vorstand,sozial,spd
hastocker,Harald Stocker,2,57,A,selbststaendig,journalist,medien,NA
matrabusch,Markus Trabusch,2,64,A,stadtwuerzburg,intendant,kultur,NA
dotropper,Doris Tropper,1,70,A,stadterlangen,direktor,bildung,NA
miweiss,Michael Weiß,2,36,A,regierungoberpfalz,lehrer,bildung,csu
juwidmann,Jutta Widmann,1,65,A,landtagbayern  ,mdl,politik,fw
stwild,Stefan Wild,2,66,A,hotelgastgmbh,hotellier,tourismus,NA
mawunnike,Martin Wunnike,2,64,A,mittelbayerischerverlag,geschaeftsfuehrer,medien,NA
onakdeniz,Onur Akdeniz,2,29,A,studienreferandar,lehrer,bildung,NA
yaalinaghi,Yasmin Alinaghi,1,60,A,paritaetischehessen,geschaeftsfuehrer,sozial,NA
anbohnenkamprenken,Anne Bohnenkamp-Renken,1,66,A,freiesdeutscheshochstift,direktor,kultur,NA
ulcaspar,Ulrich Caspar,2,70,A,econo,prokurist,immobilien,NA
siclaar,Simone Claar,1,NA,A,gewhessen,vorstand,sozial,spd
inclaus,Ines Claus,1,NA,A,landtaghessen,mdl,politik,cdu
midangel,Miriam Dangel,1,40,A,bauernverbandhessen,referent,agrar,NA
sueickemeier,Susanne Eickemeier,1,61,A,hochschuleoffenbach,direktor,bildung,NA
arenners,Arno Enners,2,62,A,landtaghessen,mdl,politik,afd
kegeis,Kerstin Geis,1,62,A,landtaghessen,mdl,politik,spd
kahahne,Karin Hahne,1,NA,A,selbststaendig,anwalt,staat,NA
raheuberger,Rachel Heuberger,1,75,A,juedischegemeindeffm,leiter,sozial,NA
bikuemmel,Birgit Kümmel,1,68,A,museumsverbandhessen,leiter,kultur,NA
jukuhlmann,Juliane Kuhlmann,1,49,A,landwirtschafthessen,leiter,agrar,NA
mamachalett,Mario Machalett,2,51,A,hessischerjugendring,geschaeftsfuehrer,sozial,NA
mamencke,Martin Mencke,2,60,A,evkirche,oberkirchenrat,religion,NA
kamueller,Karin Müller,1,65,A,landesregierunghessen,beamter,poltik,NA
brott,Brigitte Ott,1,67,A,landesfrauenrathessen,geschaeftsfuehrer,sozial,NA
wopax,Wolfgang Pax,2,68,A,katholischekirche,pfarrer,religion,NA
chriess,Christof Riess,2,NA,A,hwkffmrheinmain,geschaeftsfuehrer,bildung,NA
svringsdorf,Sven Ringsdorf,2,37,A,weisschemietechnik,anwalt,industrie,fdp
rerock,Rene Rock,2,59,A,landesregierunghessen,mdl,politik,fdp
mirudolph,Michael Rudolph,2,49,A,dgb,vorstand,sozial,spd
heschmitt,Heini Schmitt,2,65,A,dbb,vorstand,sozial,NA
anschneider,Anke Schneider,1,59,A,vbe,vorstand,sozial,NA
roscholz,Rose-Lore Scholz,1,77,A,bdv,vorstand,sozial,cdu
kaseewald,Katharina Seewald,1,69,A,vhshessen,leiter,bildung,NA
evtolpina,Evelina Tolpina,1,54,A,sozialerdienst,paedagoge,sozial,NA
jevogt,Jean Marc Vogt,1,63,A,operfrankfurt,musiker,kultur,NA
mawagner,Mathias Wagner,2,52,A,landtaghessen,mdl,politik,gruene
siweinmannmang,Simone Weinmann-Mang,1,67,A,selbststaendig,geschaeftsfuehrer,wirtschaft,NA
anzulauf,Anne Zulauf,1,48,A,bfw,koordinator,sozial,NA
mepayandeh,Dr. Merhad Payandeh,2,66,A,dgb,leiter,sozial,spd
libudde,Lisa Budde,1,34,A,hannoverrueck,kommunikator,finanzen,NA
fiabaci,Fikret Abaci,2,62,A,integrationsratniedersachsen,vorstand,sozial,NA
